Illumina Library,Note,Library Creation Attempt,Nucleic Acid ID,Library Plate Container Barcode,Container Type,Well,Library Plate Label,Index Name,Final Aliquot Mass (ng),Library Concentration (ng/ul),Library Template Size (bp),Library Molarity QC (pM),Library Volume (ul),Number PCR Cycles,Library QC Result,Failure Mode,Complete
Lib_217,,,NA00656329,27-999999,Plate,F4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_218,,,NA00656330,27-999999,Plate,G4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_219,,,NA00656331,27-999999,Plate,H4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_220,,,NA00656332,27-999999,Plate,I4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_221,,,NA00656333,27-999999,Plate,J4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_222,,,NA00656334,27-999999,Plate,K4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_223,,,NA00656335,27-999999,Plate,L4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_224,,,NA00656336,27-999999,Plate,M4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_225,,,NA00656337,27-999999,Plate,N4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_226,,,NA00656338,27-999999,Plate,O4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_227,,,NA00656339,27-999999,Plate,P4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_228,,,NA00656340,27-999999,Plate,A5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_229,,,NA00656341,27-999999,Plate,B5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_230,,,NA00656342,27-999999,Plate,C5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_231,,,NA00656343,27-999999,Plate,D5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_232,,,NA00656344,27-999999,Plate,E5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_233,,,NA00656345,27-999999,Plate,F5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_234,,,NA00656346,27-999999,Plate,G5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_235,,,NA00656347,27-999999,Plate,H5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_236,,,NA00656348,27-999999,Plate,I5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_237,,,NA00656349,27-999999,Plate,J5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_238,,,NA00656350,27-999999,Plate,K5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_239,,,NA00656351,27-999999,Plate,L5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_240,,,NA00656352,27-999999,Plate,M5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_241,,,NA00656353,27-999999,Plate,N5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_242,,,NA00656354,27-999999,Plate,O5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_243,,,NA00656355,27-999999,Plate,P5,XUPVQ-6,,250,,,,,,,,FALSE
Lib_244,,,NA00656356,27-999999,Plate,A6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_245,,,NA00656357,27-999999,Plate,B6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_246,,,NA00656358,27-999999,Plate,C6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_247,,,NA00656359,27-999999,Plate,D6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_248,,,NA00656360,27-999999,Plate,E6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_249,,,NA00656361,27-999999,Plate,F6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_250,,,NA00656362,27-999999,Plate,G6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_251,,,NA00656363,27-999999,Plate,H6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_252,,,NA00656364,27-999999,Plate,I6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_253,,,NA00656365,27-999999,Plate,J6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_254,,,NA00656366,27-999999,Plate,K6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_255,,,NA00656367,27-999999,Plate,L6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_256,,,NA00656368,27-999999,Plate,M6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_257,,,NA00656369,27-999999,Plate,N6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_258,,,NA00656370,27-999999,Plate,O6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_259,,,NA00656371,27-999999,Plate,P6,XUPVQ-6,,250,,,,,,,,FALSE
Lib_260,,,NA00656372,27-999999,Plate,A7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_261,,,NA00656373,27-999999,Plate,B7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_262,,,NA00656374,27-999999,Plate,C7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_263,,,NA00656375,27-999999,Plate,D7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_264,,,NA00656376,27-999999,Plate,E7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_265,,,NA00656377,27-999999,Plate,F7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_266,,,NA00656378,27-999999,Plate,G7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_267,,,NA00656379,27-999999,Plate,H7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_268,,,NA00656380,27-999999,Plate,I7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_269,,,NA00656381,27-999999,Plate,J7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_270,,,NA00656382,27-999999,Plate,K7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_271,,,NA00656383,27-999999,Plate,L7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_272,,,NA00656384,27-999999,Plate,M7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_273,,,NA00656385,27-999999,Plate,N7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_274,,,NA00656386,27-999999,Plate,O7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_275,,,NA00656387,27-999999,Plate,P7,XUPVQ-6,,250,,,,,,,,FALSE
Lib_276,,,NA00656388,27-999999,Plate,A8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_277,,,NA00656389,27-999999,Plate,B8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_278,,,NA00656390,27-999999,Plate,C8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_279,,,NA00656391,27-999999,Plate,D8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_280,,,NA00656392,27-999999,Plate,E8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_281,,,NA00656393,27-999999,Plate,F8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_282,,,NA00656394,27-999999,Plate,G8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_283,,,NA00656395,27-999999,Plate,H8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_284,,,NA00656396,27-999999,Plate,I8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_285,,,NA00656397,27-999999,Plate,J8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_286,,,NA00656398,27-999999,Plate,K8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_287,,,NA00656399,27-999999,Plate,L8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_288,,,NA00656400,27-999999,Plate,M8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_289,,,NA00656401,27-999999,Plate,N8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_290,,,NA00656402,27-999999,Plate,O8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_291,,,NA00656403,27-999999,Plate,P8,XUPVQ-6,,250,,,,,,,,FALSE
Lib_292,,,NA00656404,27-999999,Plate,A9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_293,,,NA00656405,27-999999,Plate,B9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_294,,,NA00656406,27-999999,Plate,C9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_295,,,NA00656407,27-999999,Plate,D9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_296,,,NA00656408,27-999999,Plate,E9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_297,,,NA00656409,27-999999,Plate,F9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_298,,,NA00656410,27-999999,Plate,G9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_299,,,NA00656411,27-999999,Plate,H9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_300,,,NA00656412,27-999999,Plate,I9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_301,,,NA00656413,27-999999,Plate,J9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_302,,,NA00656414,27-999999,Plate,K9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_303,,,NA00656415,27-999999,Plate,L9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_304,,,NA00656416,27-999999,Plate,M9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_305,,,NA00656417,27-999999,Plate,N9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_306,,,NA00656418,27-999999,Plate,O9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_307,,,NA00656419,27-999999,Plate,P9,XUPVQ-6,,250,,,,,,,,FALSE
Lib_308,,,NA00656420,27-999999,Plate,A10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_309,,,NA00656421,27-999999,Plate,B10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_310,,,NA00656422,27-999999,Plate,C10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_311,,,NA00656423,27-999999,Plate,D10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_312,,,NA00656424,27-999999,Plate,E10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_313,,,NA00656425,27-999999,Plate,F10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_314,,,NA00656426,27-999999,Plate,G10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_315,,,NA00656427,27-999999,Plate,H10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_316,,,NA00656428,27-999999,Plate,I10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_317,,,NA00656429,27-999999,Plate,J10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_318,,,NA00656430,27-999999,Plate,K10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_319,,,NA00656431,27-999999,Plate,L10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_320,,,NA00656432,27-999999,Plate,M10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_321,,,NA00656433,27-999999,Plate,N10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_322,,,NA00656434,27-999999,Plate,O10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_323,,,NA00656435,27-999999,Plate,P10,XUPVQ-6,,250,,,,,,,,FALSE
Lib_324,,,NA00656436,27-999999,Plate,A11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_325,,,NA00656437,27-999999,Plate,B11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_326,,,NA00656438,27-999999,Plate,C11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_327,,,NA00656439,27-999999,Plate,D11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_328,,,NA00656440,27-999999,Plate,E11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_329,,,NA00656441,27-999999,Plate,F11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_330,,,NA00656442,27-999999,Plate,G11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_331,,,NA00656443,27-999999,Plate,H11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_332,,,NA00656444,27-999999,Plate,I11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_333,,,NA00656445,27-999999,Plate,J11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_334,,,NA00656446,27-999999,Plate,K11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_335,,,NA00656447,27-999999,Plate,L11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_336,,,NA00656448,27-999999,Plate,M11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_337,,,NA00656449,27-999999,Plate,N11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_338,,,NA00656450,27-999999,Plate,O11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_339,,,NA00656451,27-999999,Plate,P11,XUPVQ-6,,250,,,,,,,,FALSE
Lib_340,,,NA00656452,27-999999,Plate,A12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_341,,,NA00656453,27-999999,Plate,B12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_342,,,NA00656454,27-999999,Plate,C12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_343,,,NA00656455,27-999999,Plate,D12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_344,,,NA00656456,27-999999,Plate,E12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_345,,,NA00656457,27-999999,Plate,F12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_346,,,NA00656458,27-999999,Plate,G12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_347,,,NA00656459,27-999999,Plate,H12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_348,,,NA00656460,27-999999,Plate,I12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_349,,,NA00656461,27-999999,Plate,J12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_350,,,NA00656462,27-999999,Plate,K12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_351,,,NA00656463,27-999999,Plate,L12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_352,,,NA00656464,27-999999,Plate,M12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_353,,,NA00656465,27-999999,Plate,N12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_354,,,NA00656466,27-999999,Plate,O12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_355,,,NA00656467,27-999999,Plate,P12,XUPVQ-6,,250,,,,,,,,FALSE
Lib_356,,,NA00656468,27-999999,Plate,A13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_357,,,NA00656469,27-999999,Plate,B13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_358,,,NA00656470,27-999999,Plate,C13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_359,,,NA00656471,27-999999,Plate,D13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_360,,,NA00656472,27-999999,Plate,E13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_361,,,NA00656473,27-999999,Plate,F13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_362,,,NA00656474,27-999999,Plate,G13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_363,,,NA00656475,27-999999,Plate,H13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_364,,,NA00656476,27-999999,Plate,I13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_365,,,NA00656477,27-999999,Plate,J13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_366,,,NA00656478,27-999999,Plate,K13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_367,,,NA00656479,27-999999,Plate,L13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_368,,,NA00656480,27-999999,Plate,M13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_369,,,NA00656481,27-999999,Plate,N13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_370,,,NA00656482,27-999999,Plate,O13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_371,,,NA00656483,27-999999,Plate,P13,XUPVQ-6,,250,,,,,,,,FALSE
Lib_372,,,NA00656484,27-999999,Plate,A14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_373,,,NA00656485,27-999999,Plate,B14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_374,,,NA00656486,27-999999,Plate,C14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_375,,,NA00656487,27-999999,Plate,D14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_376,,,NA00656488,27-999999,Plate,E14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_377,,,NA00656489,27-999999,Plate,F14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_378,,,NA00656490,27-999999,Plate,G14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_379,,,NA00656491,27-999999,Plate,H14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_380,,,NA00656492,27-999999,Plate,I14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_381,,,NA00656493,27-999999,Plate,J14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_382,,,NA00656494,27-999999,Plate,K14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_383,,,NA00656495,27-999999,Plate,L14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_384,,,NA00656496,27-999999,Plate,M14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_385,,,NA00656497,27-999999,Plate,N14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_386,,,NA00656498,27-999999,Plate,O14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_387,,,NA00656499,27-999999,Plate,P14,XUPVQ-6,,250,,,,,,,,FALSE
Lib_388,,,NA00656500,27-999999,Plate,A15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_389,,,NA00656501,27-999999,Plate,B15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_390,,,NA00656502,27-999999,Plate,C15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_391,,,NA00656503,27-999999,Plate,D15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_392,,,NA00656504,27-999999,Plate,E15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_393,,,NA00656505,27-999999,Plate,F15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_394,,,NA00656506,27-999999,Plate,G15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_395,,,NA00656507,27-999999,Plate,H15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_396,,,NA00656508,27-999999,Plate,I15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_397,,,NA00656509,27-999999,Plate,J15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_398,,,NA00656510,27-999999,Plate,K15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_399,,,NA00656511,27-999999,Plate,L15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_400,,,NA00656512,27-999999,Plate,M15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_401,,,NA00656513,27-999999,Plate,N15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_402,,,NA00656514,27-999999,Plate,O15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_403,,,NA00656515,27-999999,Plate,P15,XUPVQ-6,,250,,,,,,,,FALSE
Lib_404,,,NA00656516,27-999999,Plate,A16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_405,,,NA00656517,27-999999,Plate,B16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_406,,,NA00656518,27-999999,Plate,C16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_407,,,NA00656519,27-999999,Plate,D16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_408,,,NA00656520,27-999999,Plate,E16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_409,,,NA00656521,27-999999,Plate,F16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_410,,,NA00656522,27-999999,Plate,G16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_411,,,NA00656523,27-999999,Plate,H16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_412,,,NA00656524,27-999999,Plate,I16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_413,,,NA00656525,27-999999,Plate,J16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_414,,,NA00656526,27-999999,Plate,K16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_415,,,NA00656527,27-999999,Plate,L16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_416,,,NA00656528,27-999999,Plate,M16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_417,,,NA00656529,27-999999,Plate,N16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_418,,,NA00656530,27-999999,Plate,O16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_419,,,NA00656531,27-999999,Plate,P16,XUPVQ-6,,250,,,,,,,,FALSE
Lib_420,,,NA00656532,27-999999,Plate,A17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_421,,,NA00656533,27-999999,Plate,B17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_422,,,NA00656534,27-999999,Plate,C17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_423,,,NA00656535,27-999999,Plate,D17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_424,,,NA00656536,27-999999,Plate,E17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_425,,,NA00656537,27-999999,Plate,F17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_426,,,NA00656538,27-999999,Plate,G17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_427,,,NA00656539,27-999999,Plate,H17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_428,,,NA00656540,27-999999,Plate,I17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_429,,,NA00656541,27-999999,Plate,J17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_430,,,NA00656542,27-999999,Plate,K17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_431,,,NA00656543,27-999999,Plate,L17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_432,,,NA00656544,27-999999,Plate,M17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_433,,,NA00656545,27-999999,Plate,N17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_434,,,NA00656546,27-999999,Plate,O17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_435,,,NA00656547,27-999999,Plate,P17,XUPVQ-6,,250,,,,,,,,FALSE
Lib_436,,,NA00656548,27-999999,Plate,A18,XUPVQ-6,,250,,,,,,,,FALSE
Lib_437,,,NA00656549,27-999999,Plate,B18,XUPVQ-6,,250,,,,,,,,FALSE
