Sample Name*,Concentration* (ng/ul),Volume* (ul),Tube or Plate Label*,Sample Container*,Plate location (well #)* required if samples provided in a plate.,Sample Format*,Was Sample DNAse treated?*,Known / Suspected Organisms,Biosafety Material Category*,Sample Isolation Method*,Collection Year*,Collection Month*,Collection Day*,Sample Isolated From*,Collection Site or Growth Conditions* (required for RNA samples),Latitude*,Longitude*,Depth* (in meters) or minimum depth if a range,Maximum depth (in meters) if a range,Elevation* (in meters) or minimum elevation if a range,Maximum elevation (in meters) if a range,Country*,Sample Contact Name,Seq Project PI Name (No edit),Proposal ID (No edit),Control Type,Control Organism Name,Control Organism Tax ID,Internal Collaborator Sample Name
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I3,10,25,XUPVQ-1,384,I3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I3
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K3,10,25,XUPVQ-1,384,K3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K3
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A5,10,25,XUPVQ-1,384,A5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A5
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G5,10,25,XUPVQ-1,384,G5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G5
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I5,10,25,XUPVQ-1,384,I5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I5
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K5,10,25,XUPVQ-1,384,K5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K5
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M5,10,25,XUPVQ-1,384,M5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M5
Uncultured microbe JGI Bright_BP9735_SitukAM.1_O5,10,25,XUPVQ-1,384,O5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_O5
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A7,10,25,XUPVQ-1,384,A7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A7
Uncultured microbe JGI Bright_BP9735_SitukAM.1_C7,10,25,XUPVQ-1,384,C7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_C7
Uncultured microbe JGI Bright_BP9735_SitukAM.1_E7,10,25,XUPVQ-1,384,E7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_E7
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G7,10,25,XUPVQ-1,384,G7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G7
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I7,10,25,XUPVQ-1,384,I7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I7
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K7,10,25,XUPVQ-1,384,K7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K7
Uncultured microbe JGI Bright_BP9735_SitukAM.1_O7,10,25,XUPVQ-1,384,O7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_O7
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A9,10,25,XUPVQ-1,384,A9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A9
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I9,10,25,XUPVQ-1,384,I9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I9
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K9,10,25,XUPVQ-1,384,K9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K9
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M9,10,25,XUPVQ-1,384,M9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M9
Uncultured microbe JGI Bright_BP9735_SitukAM.1_O9,10,25,XUPVQ-1,384,O9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_O9
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A11,10,25,XUPVQ-1,384,A11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A11
Uncultured microbe JGI Bright_BP9735_SitukAM.1_C11,10,25,XUPVQ-1,384,C11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_C11
Uncultured microbe JGI Bright_BP9735_SitukAM.1_E11,10,25,XUPVQ-1,384,E11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_E11
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G11,10,25,XUPVQ-1,384,G11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G11
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I11,10,25,XUPVQ-1,384,I11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I11
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K11,10,25,XUPVQ-1,384,K11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K11
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M11,10,25,XUPVQ-1,384,M11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M11
Uncultured microbe JGI Bright_BP9735_SitukAM.1_O11,10,25,XUPVQ-1,384,O11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_O11
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A13,10,25,XUPVQ-1,384,A13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A13
Uncultured microbe JGI Bright_BP9735_SitukAM.1_C13,10,25,XUPVQ-1,384,C13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_C13
Uncultured microbe JGI Bright_BP9735_SitukAM.1_E13,10,25,XUPVQ-1,384,E13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_E13
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G13,10,25,XUPVQ-1,384,G13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G13
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I13,10,25,XUPVQ-1,384,I13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I13
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K13,10,25,XUPVQ-1,384,K13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K13
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M13,10,25,XUPVQ-1,384,M13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M13
Uncultured microbe JGI Bright_BP9735_SitukAM.1_E15,10,25,XUPVQ-1,384,E15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_E15
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G15,10,25,XUPVQ-1,384,G15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G15
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K15,10,25,XUPVQ-1,384,K15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K15
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M15,10,25,XUPVQ-1,384,M15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M15
Uncultured microbe JGI Bright_BP9735_SitukAM.1_O15,10,25,XUPVQ-1,384,O15,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_O15
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A17,10,25,XUPVQ-1,384,A17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A17
Uncultured microbe JGI Bright_BP9735_SitukAM.1_C17,10,25,XUPVQ-1,384,C17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_C17
Uncultured microbe JGI Bright_BP9735_SitukAM.1_E17,10,25,XUPVQ-1,384,E17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_E17
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G17,10,25,XUPVQ-1,384,G17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G17
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I17,10,25,XUPVQ-1,384,I17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I17
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K17,10,25,XUPVQ-1,384,K17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K17
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M17,10,25,XUPVQ-1,384,M17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M17
Uncultured microbe JGI Bright_BP9735_SitukAM.1_O17,10,25,XUPVQ-1,384,O17,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_O17
Uncultured microbe JGI Bright_BP9735_SitukAM.1_A19,10,25,XUPVQ-1,384,A19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_A19
Uncultured microbe JGI Bright_BP9735_SitukAM.1_C19,10,25,XUPVQ-1,384,C19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_C19
Uncultured microbe JGI Bright_BP9735_SitukAM.1_E19,10,25,XUPVQ-1,384,E19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_E19
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G19,10,25,XUPVQ-1,384,G19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G19
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I19,10,25,XUPVQ-1,384,I19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I19
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M19,10,25,XUPVQ-1,384,M19,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M19
Uncultured microbe JGI Bright_BP9735_SitukAM.1_G21,10,25,XUPVQ-1,384,G21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_G21
Uncultured microbe JGI Bright_BP9735_SitukAM.1_I21,10,25,XUPVQ-1,384,I21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_I21
Uncultured microbe JGI Bright_BP9735_SitukAM.1_K21,10,25,XUPVQ-1,384,K21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_K21
Uncultured microbe JGI Bright_BP9735_SitukAM.1_M21,10,25,XUPVQ-1,384,M21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_M21
Uncultured microbe JGI Bright_BP9735_SitukAM.1_O21,10,25,XUPVQ-1,384,O21,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP9735_SitukAM.1_O21
Uncultured microbe JGI empty_BP9735_SitukAM.1_A23,10,25,XUPVQ-1,384,A23,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,negative,,,BP9735_SitukAM.1_A23
Uncultured microbe JGI empty_BP9735_SitukAM.1_C23,10,25,XUPVQ-1,384,C23,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,negative,,,BP9735_SitukAM.1_C23
Uncultured microbe JGI Bright_BP4444_RexRM.1_A1,10,25,XUPVQ-3,384,A1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_A1
Uncultured microbe JGI Bright_BP4444_RexRM.1_O1,10,25,XUPVQ-3,384,O1,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O1
Uncultured microbe JGI Bright_BP4444_RexRM.1_C3,10,25,XUPVQ-3,384,C3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_C3
Uncultured microbe JGI Bright_BP4444_RexRM.1_E3,10,25,XUPVQ-3,384,E3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_E3
Uncultured microbe JGI Bright_BP4444_RexRM.1_G3,10,25,XUPVQ-3,384,G3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_G3
Uncultured microbe JGI Bright_BP4444_RexRM.1_I3,10,25,XUPVQ-3,384,I3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_I3
Uncultured microbe JGI Bright_BP4444_RexRM.1_K3,10,25,XUPVQ-3,384,K3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K3
Uncultured microbe JGI Bright_BP4444_RexRM.1_M3,10,25,XUPVQ-3,384,M3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M3
Uncultured microbe JGI Bright_BP4444_RexRM.1_O3,10,25,XUPVQ-3,384,O3,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O3
Uncultured microbe JGI Bright_BP4444_RexRM.1_A5,10,25,XUPVQ-3,384,A5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_A5
Uncultured microbe JGI Bright_BP4444_RexRM.1_C5,10,25,XUPVQ-3,384,C5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_C5
Uncultured microbe JGI Bright_BP4444_RexRM.1_G5,10,25,XUPVQ-3,384,G5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_G5
Uncultured microbe JGI Bright_BP4444_RexRM.1_K5,10,25,XUPVQ-3,384,K5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K5
Uncultured microbe JGI Bright_BP4444_RexRM.1_M5,10,25,XUPVQ-3,384,M5,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M5
Uncultured microbe JGI Bright_BP4444_RexRM.1_K7,10,25,XUPVQ-3,384,K7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K7
Uncultured microbe JGI Bright_BP4444_RexRM.1_M7,10,25,XUPVQ-3,384,M7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M7
Uncultured microbe JGI Bright_BP4444_RexRM.1_O7,10,25,XUPVQ-3,384,O7,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O7
Uncultured microbe JGI Bright_BP4444_RexRM.1_A9,10,25,XUPVQ-3,384,A9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_A9
Uncultured microbe JGI Bright_BP4444_RexRM.1_C9,10,25,XUPVQ-3,384,C9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_C9
Uncultured microbe JGI Bright_BP4444_RexRM.1_E9,10,25,XUPVQ-3,384,E9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_E9
Uncultured microbe JGI Bright_BP4444_RexRM.1_G9,10,25,XUPVQ-3,384,G9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_G9
Uncultured microbe JGI Bright_BP4444_RexRM.1_I9,10,25,XUPVQ-3,384,I9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_I9
Uncultured microbe JGI Bright_BP4444_RexRM.1_K9,10,25,XUPVQ-3,384,K9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K9
Uncultured microbe JGI Bright_BP4444_RexRM.1_M9,10,25,XUPVQ-3,384,M9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M9
Uncultured microbe JGI Bright_BP4444_RexRM.1_O9,10,25,XUPVQ-3,384,O9,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O9
Uncultured microbe JGI Bright_BP4444_RexRM.1_K11,10,25,XUPVQ-3,384,K11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_K11
Uncultured microbe JGI Bright_BP4444_RexRM.1_M11,10,25,XUPVQ-3,384,M11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_M11
Uncultured microbe JGI Bright_BP4444_RexRM.1_O11,10,25,XUPVQ-3,384,O11,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_O11
Uncultured microbe JGI Bright_BP4444_RexRM.1_A13,10,25,XUPVQ-3,384,A13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_A13
Uncultured microbe JGI Bright_BP4444_RexRM.1_C13,10,25,XUPVQ-3,384,C13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_C13
Uncultured microbe JGI Bright_BP4444_RexRM.1_E13,10,25,XUPVQ-3,384,E13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_E13
Uncultured microbe JGI Bright_BP4444_RexRM.1_G13,10,25,XUPVQ-3,384,G13,MDA reaction buffer,N,,Metagenome (Environmental),flow sorting,2026,1,1,dirt,,44.11,123.11,15,,200,,USA,,,,,,,BP4444_RexRM.1_G13
